,Block,2011F,2011H,2012F,2012H,2013F,2013H,2014F,2014H,2015F,2015H,2016F,2016H,2017F,2017H,Total
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,4.0,118.0
B,0.0,2.0,0.0,2.0,0.0,12.0,0.0,111.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,138.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,72.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,77.0
G,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,31.0,0.0,32.0,0.0,27.0,1.0,128.0
Total,0.0,2.0,0.0,2.0,0.0,13.0,0.0,147.0,0.0,146.0,0.0,109.0,10.0,99.0,5.0,533.0
